Event_ID,Station,Date,Year,JulianDay,HF_Time,Swell_Time,SwellMetric,HF_Count,Swell_Count,Swell_Amp_Z,Swell_Amp_N,HF_Amp_Z,HF_Amp_N,Thresh_HF,Thresh_SwellZ
7,DR01,11/28/2014,2014,332,11/28/14 6:50,11/28/14 6:32,3.767717362,7,24,6.77E-06,4.84E-06,4.83E-08,7.22E-08,9.76E-07,1.47E-05
4,DR01,11/29/2014,2014,333,11/29/14 16:18,11/29/14 15:52,3.737430525,5,22,5.17E-06,2.04E-06,2.76E-08,4.18E-08,5.67E-07,1.37E-05
1,DR01,12/3/2014,2014,337,12/3/14 1:55,12/3/14 1:56,3.082307985,24,20,7.28E-06,4.07E-06,4.94E-08,6.85E-08,5.68E-07,1.11E-05
2,DR01,12/4/2014,2014,338,12/4/14 7:30,12/4/14 7:30,5.040875503,2,20,1.24E-05,5.51E-06,3.71E-07,4.23E-07,1.59E-06,8.47E-06
2,DR01,12/6/2014,2014,340,12/6/14 1:40,12/6/14 1:40,5.924099358,5,19,1.39E-05,5.43E-06,3.03E-07,2.89E-07,1.23E-06,1.00E-05
4,DR01,12/7/2014,2014,341,12/7/14 14:38,12/7/14 14:38,33.80368771,12,15,1.78E-05,2.81E-06,1.29E-07,7.11E-08,5.18E-07,1.31E-05
1,DR01,12/9/2014,2014,343,12/9/14 0:24,12/9/14 1:29,3.340400458,20,24,3.69E-06,1.89E-06,2.26E-08,4.09E-08,3.06E-07,1.35E-05
18,DR01,12/9/2014,2014,343,12/9/14 23:53,12/9/14 23:57,3.180127738,20,24,3.44E-06,9.19E-07,3.67E-08,6.62E-08,3.06E-07,1.35E-05
19,DR01,12/10/2014,2014,344,12/10/14 21:21,12/10/14 22:12,3.615437989,21,23,3.21E-06,1.55E-06,5.77E-08,1.04E-07,1.08E-06,1.31E-05
22,DR01,12/11/2014,2014,345,12/11/14 3:55,12/11/14 3:58,3.353229748,42,25,2.07E-06,2.05E-06,4.49E-08,7.31E-08,3.62E-07,1.09E-05
40,DR01,12/11/2014,2014,345,12/11/14 4:38,12/11/14 4:29,3.175295349,42,25,2.57E-06,2.25E-06,4.67E-08,7.64E-08,3.62E-07,1.09E-05
12,DR01,12/14/2014,2014,348,12/14/14 2:11,12/14/14 2:22,3.007724389,15,23,6.59E-06,4.58E-06,1.19E-08,1.71E-08,1.90E-07,3.61E-05
10,DR01,12/17/2014,2014,351,12/17/14 22:07,12/17/14 11:17,4.852084828,15,24,5.31E-06,3.60E-06,4.00E-08,6.51E-08,6.83E-07,2.10E-05
13,DR01,12/17/2014,2014,351,12/17/14 22:55,12/17/14 11:17,4.460360582,15,24,5.23E-06,2.35E-06,3.65E-08,5.89E-08,6.83E-07,2.10E-05
15,DR01,12/17/2014,2014,351,12/17/14 23:53,12/17/14 11:17,3.422615497,15,24,5.02E-06,1.33E-06,3.94E-08,5.73E-08,6.83E-07,2.10E-05
2,DR01,12/19/2014,2014,353,12/19/14 10:24,12/19/14 9:31,5.160273116,3,26,4.94E-06,2.06E-06,1.90E-08,3.54E-08,4.16E-07,2.19E-05
1,DR01,12/21/2014,2014,355,12/21/14 5:37,12/21/14 5:42,4.31340931,15,26,7.14E-06,2.76E-06,2.66E-08,4.83E-08,2.91E-07,2.68E-05
4,DR01,12/22/2014,2014,356,12/22/14 19:17,12/22/14 18:39,5.294945824,16,33,6.94E-06,3.02E-06,1.65E-07,2.00E-07,2.19E-06,2.78E-05
21,DR01,12/24/2014,2014,358,12/24/14 20:09,12/24/14 18:21,3.029398133,26,26,4.21E-06,2.37E-06,1.38E-08,2.07E-08,2.29E-07,2.13E-05
7,DR01,12/31/2014,2014,365,12/31/14 12:42,12/31/14 14:33,3.927035553,15,28,7.55E-06,3.26E-06,1.95E-08,3.11E-08,3.56E-07,2.66E-05
8,DR01,12/31/2014,2014,365,12/31/14 13:59,12/31/14 14:33,3.033912562,15,28,7.22E-06,5.20E-06,1.22E-08,2.02E-08,3.56E-07,2.66E-05
7,DR01,1/6/2015,2015,6,1/6/15 7:54,1/6/15 21:07,3.261981624,44,23,5.44E-06,2.75E-06,2.75E-07,3.94E-07,1.60E-06,3.28E-05
