Event_ID,Station,Date,Year,JulianDay,HF_Time,Swell_Time,SwellMetric,HF_Count,Swell_Count,Swell_Amp_Z,Swell_Amp_N,HF_Amp_Z,HF_Amp_N,Thresh_HF,Thresh_SwellZ
3,DR02,11/22/14,2014,326,11/22/14 10:00,11/22/14 12:07,3.013072785,70,20,4.92E-06,4.45E-06,2.22E-08,3.69E-08,2.31E-07,2.17E-05
5,DR02,11/22/14,2014,326,11/22/14 10:40,11/22/14 12:07,3.955311785,70,20,3.38E-06,3.00E-06,2.49E-08,4.01E-08,2.31E-07,2.17E-05
18,DR02,11/22/14,2014,326,11/22/14 15:09,11/22/14 15:12,3.029803544,70,20,4.18E-06,4.42E-06,2.94E-08,4.51E-08,2.31E-07,2.17E-05
22,DR02,11/22/14,2014,326,11/22/14 15:27,11/22/14 15:12,3.209758799,70,20,7.02E-06,3.98E-06,3.27E-08,5.09E-08,2.31E-07,2.17E-05
48,DR02,11/22/14,2014,326,11/22/14 18:38,11/22/14 18:56,4.308551272,70,20,7.44E-06,3.22E-06,3.75E-08,4.40E-08,2.31E-07,2.17E-05
56,DR02,11/22/14,2014,326,11/22/14 21:30,11/22/14 21:33,3.476032274,70,20,6.47E-06,3.89E-06,3.21E-08,4.44E-08,2.31E-07,2.17E-05
69,DR02,11/22/14,2014,326,11/22/14 23:55,11/22/14 23:45,4.820807735,70,20,7.28E-06,6.15E-06,3.19E-08,4.36E-08,2.31E-07,2.17E-05
3,DR02,11/24/14,2014,328,11/24/14 10:46,11/24/14 11:33,6.387127639,6,25,7.06E-06,4.18E-06,3.42E-08,5.69E-08,7.12E-07,1.89E-05
4,DR02,11/24/14,2014,328,11/24/14 11:26,11/24/14 11:33,5.998266117,6,25,3.56E-06,3.38E-06,3.78E-08,6.34E-08,7.12E-07,1.89E-05
4,DR02,11/25/14,2014,329,11/25/14 8:15,11/25/14 8:15,6.555783575,7,24,8.85E-06,4.40E-06,4.32E-08,1.08E-07,7.52E-07,1.69E-05
1,DR02,11/26/14,2014,330,11/26/14 3:53,11/26/14 8:14,7.06972075,5,20,6.24E-06,5.39E-06,1.77E-08,2.64E-08,3.29E-07,2.14E-05
2,DR02,11/28/14,2014,332,11/28/14 11:12,11/28/14 10:09,5.108746346,3,29,7.04E-06,4.49E-06,2.03E-08,2.85E-08,3.09E-07,2.53E-05
